texture	size	rgba_avg	pixels	rgb_stddev	stddev
cauldron_top.png	16x16	73,72,74,0	156	16.081,15.029,13.342	14.817
loom_front.png	16x16	148,118,82,0	256	43.151,37.615,34.653	38.473
acacia_log_top.png	16x16	150,88,55,0	256	38.218,9.424,11.444	19.695
dead_bush.png	16x16	107,78,40,0	78	28.678,17.082,4.404	16.721
crimson_trapdoor.png	16x16	103,50,72,0	216	26.451,9.597,15.374	17.140
bell_bottom.png	16x16	188,148,42,0	64	57.229,49.022,32.005	46.085
birch_planks.png	16x16	192,175,121,0	256	20.815,20.928,13.736	18.493
wheat_stage1.png	16x16	0,0,0,0	256	0.000,0.000,0.964	0.321
gray_terracotta.png	16x16	57,42,35,0	256	1.012,1.195,0.819	1.009
crimson_roots.png	16x16	126,8,41,0	91	34.357,4.087,9.422	15.955
redstone_dust_line1.png	16x16	240,240,240,0	22	14.265,14.265,14.265	14.265
light_gray_stained_glass.png	16x16	153,153,153,68	256	0.000,0.000,0.000	0.000
shroomlight.png	16x16	240,146,70,0	256	19.050,49.086,56.978	41.705
light_gray_stained_glass_pane_top.png	16x16	147,147,147,12	32	4.052,4.052,4.052	4.052
cactus_bottom.png	16x16	143,170,85,0	196	82.001,52.809,40.999	58.603
nether_portal.png	16x512	87,10,191,31	8192	25.763,14.898,16.791	19.151
cyan_concrete.png	16x16	21,119,136,0	256	0.611,0.708,0.738	0.686
blast_furnace_front.png	16x16	107,107,107,0	256	39.655,40.075,39.563	39.764
bee_nest_front_honey.png	16x16	194,151,75,0	256	52.174,49.117,27.053	42.781
piston_top_sticky.png	16x16	122,149,92,0	256	47.753,45.603,49.733	47.696
magenta_concrete_powder.png	16x16	192,83,184,0	256	9.694,10.954,10.158	10.269
potatoes_stage2.png	16x16	85,129,47,0	45	41.186,23.629,10.654	25.156
light_gray_glazed_terracotta.png	16x16	144,166,167,0	256	62.317,39.459,38.792	46.856
iron_bars.png	16x16	136,139,135,0	116	33.585,32.314,34.500	33.466
mushroom_stem.png	16x16	203,196,185,0	256	6.317,5.874,8.892	7.028
basalt_side.png	16x16	73,72,77,0	256	18.059,16.171,11.836	15.355
red_concrete_powder.png	16x16	168,54,50,0	256	9.288,5.405,4.147	6.280
tube_coral_block.png	16x16	49,87,206,0	256	11.995,21.763,29.821	21.193
blue_stained_glass.png	16x16	51,76,178,66	256	0.000,0.000,0.000	0.000
honey_block_bottom.png	16x16	241,146,17,63	256	8.692,24.070,13.561	15.441
pumpkin_top.png	16x16	198,118,24,0	256	29.295,24.793,15.667	23.252
quartz_block_bottom.png	16x16	236,230,223,0	256	1.817,3.264,5.059	3.380
chorus_plant.png	16x16	93,57,93,0	256	25.158,28.074,25.146	26.126
stonecutter_saw.png	16x48	222,222,222,0	246	34.615,34.615,34.615	34.615
sweet_berry_bush_stage1.png	16x16	47,94,57,0	139	13.839,21.505,13.925	16.423
soul_campfire_fire.png	16x128	80,204,208,0	999	72.826,39.846,39.379	50.684
crimson_nylium_side.png	16x16	107,26,26,0	256	27.638,18.641,19.069	21.783
end_stone_bricks.png	16x16	218,224,162,0	256	18.943,25.934,20.778	21.885
stonecutter_side.png	16x16	106,90,78,0	144	20.295,34.113,45.541	33.316
repeating_command_block_back.png	16x64	128,109,166,0	1024	42.510,49.435,48.056	46.667
bell_side.png	16x16	252,229,96,0	58	8.156,21.796,46.998	25.650
coal_ore.png	16x16	116,116,116,0	256	25.772,25.772,25.772	25.772
tall_seagrass_bottom.png	16x304	45,117,4,0	2665	13.034,22.466,11.627	15.709
vine.png	16x16	116,116,116,0	146	28.212,28.212,28.212	28.212
cake_inner.png	16x16	133,84,60,0	112	56.446,72.000,71.372	66.606
poppy.png	16x16	128,64,37,0	35	85.887,32.096,8.045	42.009
black_shulker_box.png	16x16	25,25,29,0	256	6.643,6.134,5.966	6.248
cyan_concrete_powder.png	16x16	36,147,157,0	256	1.856,11.455,8.517	7.276
redstone_lamp.png	16x16	95,54,30,0	256	44.615,27.658,14.355	28.876
cake_side.png	16x16	203,151,121,0	112	48.105,84.460,100.176	77.581
jigsaw_side.png	16x16	62,53,63,0	256	64.357,54.641,63.997	60.998
brewing_stand.png	16x16	123,101,81,0	126	67.968,65.193,59.653	64.272
cactus_top.png	16x16	85,127,43,0	196	24.074,23.919,20.827	22.940
crafting_table_front.png	16x16	129,105,70,0	256	66.089,61.613,55.172	60.958
smoker_side.png	16x16	102,91,75,0	256	26.855,28.112,37.146	30.704
cyan_glazed_terracotta.png	16x16	52,118,125,0	256	52.485,48.472,47.611	49.523
sunflower_bottom.png	16x16	56,135,30,0	57	25.389,19.539,17.193	20.707
brain_coral_fan.png	16x16	202,84,153,0	95	21.928,23.762,18.762	21.484
red_sandstone.png	16x16	186,99,29,0	256	17.754,13.532,11.214	14.167
structure_block_save.png	16x16	86,71,87,0	256	71.250,58.375,70.501	66.708
red_sandstone_top.png	16x16	181,97,31,0	256	7.754,5.486,3.709	5.649
glass.png	16x16	175,213,219,0	65	32.999,20.757,15.324	23.027
soul_lantern.png	16x48	71,99,114,0	318	37.367,61.236,56.132	51.579
blackstone.png	16x16	42,35,40,0	256	13.174,15.873,19.478	16.175
torch.png	16x16	138,113,63,0	20	69.563,64.007,56.094	63.221
beacon.png	16x16	117,220,215,0	256	79.624,23.225,27.601	43.483
smithing_table_bottom.png	16x16	64,28,23,0	256	13.418,3.658,3.491	6.856
daylight_detector_side.png	16x16	66,55,35,0	256	12.093,8.876,5.514	8.828
cauldron_side.png	16x16	74,73,74,0	256	15.473,14.929,13.218	14.540
bubble_coral.png	16x16	161,23,159,0	133	35.205,16.451,25.992	25.883
dark_oak_leaves.png	16x16	150,150,150,0	179	27.576,29.531,27.576	28.228
wheat_stage3.png	16x16	0,0,0,0	256	0.000,0.000,2.062	0.687
smithing_table_side.png	16x16	55,35,35,0	256	25.511,15.687,19.340	20.179
acacia_door_top.png	16x16	167,95,60,0	184	35.421,19.808,16.211	23.813
cyan_shulker_box.png	16x16	20,121,135,0	256	2.620,15.309,13.325	10.418
destroy_stage_2.png	16x16	97,97,97,0	18	47.153,47.153,47.153	47.153
honey_block_top.png	16x16	251,185,52,32	256	3.046,21.435,35.293	19.925
warped_roots_pot.png	16x16	20,136,123,0	71	1.999,29.925,18.247	16.724
seagrass.png	16x288	50,126,8,0	1372	15.005,22.335,14.821	17.387
oak_door_bottom.png	16x16	138,108,62,0	256	30.370,24.239,16.573	23.727
red_shulker_box.png	16x16	140,31,30,0	256	16.417,6.288,4.953	9.219
green_terracotta.png	16x16	76,83,42,0	256	1.328,1.445,1.438	1.404
lime_terracotta.png	16x16	103,117,52,0	256	2.592,2.073,1.972	2.212
diorite.png	16x16	188,188,188,0	256	34.468,34.821,34.928	34.739
observer_back.png	16x16	71,69,69,0	256	28.497,29.800,29.791	29.363
magenta_concrete.png	16x16	169,48,159,0	256	0.916,1.021,0.909	0.949
oak_planks.png	16x16	162,130,78,0	256	28.509,24.517,17.909	23.645
nether_wart_stage2.png	16x16	0,0,1,0	256	0.000,0.000,1.879	0.626
chiseled_sandstone.png	16x16	216,202,155,0	256	11.856,19.871,26.825	19.518
terracotta.png	16x16	152,94,67,0	256	2.517,1.503,1.354	1.791
prismarine_bricks.png	16x16	99,171,158,0	256	22.738,21.816,26.400	23.651
activator_rail.png	16x16	115,87,74,0	156	38.476,60.791,58.901	52.723
acacia_trapdoor.png	16x16	156,87,51,0	196	30.041,16.505,14.301	20.282
hopper_outside.png	16x16	66,65,68,0	256	16.137,15.384,13.470	14.997
polished_basalt_side.png	16x16	88,88,91,0	256	24.498,23.828,19.870	22.732
packed_ice.png	16x16	141,180,250,0	256	14.743,11.609,4.217	10.190
oak_leaves.png	16x16	144,144,144,0	172	30.222,32.785,30.222	31.076
magenta_stained_glass_pane_top.png	16x16	171,73,208,12	32	4.846,2.026,5.633	4.168
stripped_crimson_stem.png	16x16	137,57,90,0	256	10.635,4.958,7.556	7.717
debug.png	16x16	133,148,152,0	256	110.623,108.508,109.504	109.545
dead_tube_coral_fan.png	16x16	128,122,118,0	79	24.849,24.942,23.511	24.434
magenta_shulker_box.png	16x16	173,54,163,0	256	13.420,8.811,12.741	11.658
quartz_block_top.png	16x16	235,229,222,0	256	5.147,5.559,8.837	6.514
wither_rose.png	16x16	41,44,23,0	37	15.152,17.718,9.466	14.112
tripwire.png	16x16	129,129,129,44	42	29.739,29.739,29.739	29.739
carved_pumpkin.png	16x16	150,84,17,0	256	68.668,55.831,18.228	47.576
jungle_door_bottom.png	16x16	158,113,78,0	256	30.053,23.897,19.713	24.554
yellow_glazed_terracotta.png	16x16	234,192,88,0	256	32.459,43.186,64.114	46.586
melon_side.png	16x16	114,146,30,0	256	44.210,22.552,2.742	23.168
item_frame.png	16x16	116,67,42,0	256	40.139,14.141,3.580	19.287
chiseled_stone_bricks.png	16x16	119,118,119,0	256	22.932,22.052,22.932	22.638
anvil_top.png	16x16	72,72,72,0	160	8.129,8.129,8.129	8.129
wheat_stage7.png	16x16	166,151,73,0	139	38.294,24.515,23.140	28.650
fletching_table_side.png	16x16	191,167,129,0	256	42.622,60.929,63.321	55.624
lectern_top.png	16x16	173,137,83,0	256	16.316,15.316,14.192	15.275
lapis_block.png	16x16	30,67,140,0	256	4.955,11.766,10.982	9.234
beetroots_stage1.png	16x16	66,138,41,0	30	17.549,23.901,2.477	14.642
red_mushroom_block.png	16x16	200,46,45,0	256	13.049,28.158,28.574	23.260
orange_wool.png	16x16	240,118,19,0	256	7.558,13.770,11.918	11.082
sandstone_top.png	16x16	223,214,170,0	256	4.064,6.306,7.241	5.870
mushroom_block_inside.png	16x16	201,170,120,0	256	9.570,8.390,5.976	7.979
stonecutter_top.png	16x16	123,118,111,0	256	16.873,19.552,33.224	23.217
birch_log.png	16x16	216,215,210,0	256	53.231,53.682,56.568	54.494
chiseled_polished_blackstone.png	16x16	53,48,56,0	256	17.237,19.957,22.936	20.043
beetroots_stage2.png	16x16	69,130,39,0	88	24.763,36.217,8.699	23.226
polished_basalt_top.png	16x16	99,98,100,0	256	23.861,24.543,21.890	23.431
brown_mushroom_block.png	16x16	149,111,81,0	256	3.105,3.606,1.551	2.754
grass_path_side.png	16x16	142,105,69,0	240	32.406,29.590,17.901	26.632
redstone_block.png	16x16	0,0,3,0	256	0.000,0.000,1.485	0.495
piston_top.png	16x16	154,127,87,0	256	37.030,38.176,46.408	40.538
dragon_egg.png	16x16	12,9,15,0	256	9.566,4.114,9.871	7.850
mossy_cobblestone.png	16x16	110,118,94,0	256	25.358,22.163,35.734	27.752
green_stained_glass_pane_top.png	16x16	97,122,48,12	32	2.822,3.609,1.244	2.558
red_wool.png	16x16	160,39,34,0	256	11.419,5.239,3.115	6.591
destroy_stage_7.png	16x16	102,102,102,0	100	46.895,46.895,46.895	46.895
flower_pot.png	16x16	124,68,53,0	50	10.666,6.253,4.751	7.223
chiseled_nether_bricks.png	16x16	47,23,28,0	256	15.604,7.816,9.033	10.818
observer_back_on.png	16x16	76,68,68,0	256	34.719,28.676,28.709	30.701
barrel_top.png	16x16	134,100,58,0	256	18.116,12.353,9.950	13.473
blue_concrete.png	16x16	44,46,143,0	256	0.606,0.606,0.602	0.605
barrel_top_open.png	16x16	92,67,34,0	256	38.810,30.567,21.819	30.399
netherrack.png	16x16	97,38,38,0	256	17.099,12.204,12.204	13.836
lantern.png	16x48	106,91,83,0	318	69.489,48.570,28.065	48.708
white_wool.png	16x16	233,236,236,0	256	13.966,12.120,11.770	12.619
polished_diorite.png	16x16	192,193,194,0	256	34.901,33.246,33.834	33.994
barrel_side.png	16x16	107,81,50,0	256	38.634,26.311,12.413	25.786
cyan_terracotta.png	16x16	86,91,91,0	256	2.000,2.005,1.794	1.933
yellow_stained_glass_pane_top.png	16x16	221,221,48,12	32	6.085,6.085,1.244	4.472
redstone_dust_dot.png	16x16	240,240,240,0	29	15.597,15.597,15.597	15.597
prismarine.png	16x64	99,156,151,0	1024	32.014,30.102,31.342	31.153
kelp.png	16x320	87,140,44,0	967	5.870,29.715,7.416	14.334
structure_block.png	16x16	88,74,90,0	256	75.727,63.725,74.944	71.465
beehive_front_honey.png	16x16	167,131,74,0	256	36.387,27.517,26.527	30.144
warped_roots.png	16x16	20,138,124,0	92	2.088,29.296,17.597	16.327
black_concrete.png	16x16	8,10,15,0	256	0.997,0.997,0.997	0.997
bubble_coral_fan.png	16x16	160,32,159,0	112	34.350,24.372,25.569	28.097
chain_command_block_back.png	16x64	130,157,145,0	1024	44.029,42.727,43.775	43.510
beehive_side.png	16x16	157,126,75,0	256	29.435,25.608,20.743	25.262
dead_fire_coral.png	16x16	136,128,124,0	109	17.925,20.247,19.853	19.342
pink_shulker_box.png	16x16	230,121,157,0	256	14.425,17.368,12.837	14.877
red_glazed_terracotta.png	16x16	181,59,53,0	256	24.212,27.276,23.757	25.082
potatoes_stage3.png	16x16	84,135,47,0	81	43.060,24.806,10.924	26.263
dark_oak_trapdoor.png	16x16	75,49,23,0	256	18.769,12.325,6.649	12.581
nether_wart_stage0.png	16x16	0,0,0,0	256	0.000,0.000,1.363	0.454
dark_oak_planks.png	16x16	66,43,20,0	256	13.977,9.547,4.724	9.416
cocoa_stage1.png	16x16	146,110,56,0	95	42.440,39.798,23.124	35.121
campfire_log.png	16x16	79,74,67,0	208	47.250,32.078,23.002	34.110
weeping_vines.png	16x16	104,1,0,0	28	13.704,1.902,0.000	5.202
tube_coral_fan.png	16x16	50,91,208,0	79	12.466,23.562,30.220	22.083
nether_gold_ore.png	16x16	115,54,42,0	256	46.274,48.899,21.857	39.010
orange_stained_glass.png	16x16	216,127,51,68	256	0.000,0.000,0.000	0.000
chain_command_block_front.png	16x64	132,165,150,0	1024	39.844,39.307,39.547	39.566
smooth_stone_slab_side.png	16x16	167,167,167,0	256	21.342,21.342,21.342	21.342
destroy_stage_8.png	16x16	101,101,101,0	129	46.772,46.772,46.772	46.772
bamboo_singleleaf.png	16x16	100,138,35,0	12	25.052,25.631,21.341	24.008
grass_path_top.png	16x16	148,121,65,0	256	9.952,9.567,4.109	7.876
smoker_top.png	16x16	84,82,80,0	256	33.141,33.143,34.481	33.589
brown_terracotta.png	16x16	77,51,35,0	256	1.313,1.589,1.076	1.326
dead_brain_coral_fan.png	16x16	132,125,121,0	95	22.572,23.212,22.334	22.706
sandstone.png	16x16	216,203,155,0	256	11.062,18.918,24.852	18.277
grindstone_side.png	16x16	139,139,139,0	144	21.663,21.663,21.663	21.663
bee_nest_side.png	16x16	196,150,77,0	256	45.195,46.032,23.999	38.409
dried_kelp_side.png	16x16	38,48,29,0	256	26.405,25.456,23.973	25.278
oak_trapdoor.png	16x16	124,99,56,0	220	35.228,26.486,18.028	26.581
chipped_anvil_top.png	16x16	72,72,72,0	160	14.522,14.206,14.206	14.312
cyan_wool.png	16x16	21,137,145,0	256	0.432,10.703,5.782	5.639
composter_compost.png	16x16	88,61,23,0	144	17.974,11.157,2.890	10.674
crimson_planks.png	16x16	101,48,70,0	256	24.976,10.758,15.736	17.157
bamboo_stalk.png	16x16	93,144,19,0	256	23.370,27.072,27.528	25.990
command_block_front.png	16x64	181,136,108,0	1024	36.274,38.140,52.000	42.138
light_blue_wool.png	16x16	58,175,217,0	256	12.654,17.514,9.462	13.210
fern.png	16x16	124,124,124,0	89	26.844,24.953,26.844	26.214
grindstone_round.png	16x16	142,142,142,0	96	20.618,20.618,20.618	20.618
green_concrete.png	16x16	73,91,36,0	256	0.580,0.673,0.574	0.609
bee_nest_front.png	16x16	183,141,76,0	256	55.317,50.679,23.027	43.008
cauldron_bottom.png	16x16	40,40,44,0	84	3.338,3.338,3.546	3.408
black_stained_glass_pane_top.png	16x16	24,24,24,12	32	0.793,0.793,0.793	0.793
structure_block_corner.png	16x16	68,57,69,0	256	63.509,53.018,63.053	59.860
crafting_table_top.png	16x16	119,73,42,0	256	55.418,36.036,22.129	37.861
sea_lantern.png	16x80	172,199,190,0	1280	59.136,41.270,43.293	47.900
gray_glazed_terracotta.png	16x16	83,90,93,0	256	33.359,33.434,32.587	33.127
jungle_door_top.png	16x16	163,119,84,0	226	35.057,27.848,22.351	28.418
carrots_stage0.png	16x16	44,110,39,0	17	11.331,13.819,2.418	9.189
blue_orchid.png	16x16	47,162,168,0	44	20.559,21.488,98.668	46.905
chorus_flower_dead.png	16x16	96,61,94,0	256	29.824,35.777,26.347	30.649
composter_top.png	16x16	152,98,51,0	112	25.232,18.619,13.900	19.251
blue_concrete_powder.png	16x16	70,73,166,0	256	5.594,6.344,8.369	6.769
green_stained_glass.png	16x16	102,127,51,68	256	0.000,0.000,0.000	0.000
piston_side.png	16x16	110,104,96,0	256	39.657,33.471,31.289	34.806
observer_top.png	16x16	98,98,98,0	256	37.625,37.625,37.625	37.625
cobblestone.png	16x16	127,127,127,0	256	29.412,29.451,29.531	29.465
turtle_egg.png	16x16	228,226,191,0	133	51.376,24.717,25.382	33.825
spruce_leaves.png	16x16	126,126,126,0	160	33.590,33.590,33.590	33.590
pink_glazed_terracotta.png	16x16	235,154,181,0	256	16.237,29.465,21.936	22.546
lime_concrete.png	16x16	94,168,24,0	256	0.968,1.089,0.787	0.948
coal_block.png	16x16	16,15,15,0	256	8.704,8.507,8.507	8.573
orange_stained_glass_pane_top.png	16x16	208,122,48,12	32	5.633,3.609,1.244	3.496
wheat_stage6.png	16x16	0,0,3,0	256	0.000,0.000,4.258	1.419
lime_stained_glass.png	16x16	127,204,25,68	256	0.000,0.000,0.000	0.000
fire_1.png	16x512	211,138,49,0	4723	24.854,62.145,85.249	57.416
warped_stem.png	16x80	58,58,77,0	1280	23.472,31.125,20.499	25.032
light_gray_wool.png	16x16	142,142,134,0	256	9.579,9.566,10.840	9.995
honeycomb_block.png	16x16	229,148,29,0	256	20.707,39.168,39.519	33.131
sand.png	16x16	219,207,163,0	256	6.262,10.536,12.521	9.773
ladder.png	16x16	124,96,54,0	144	39.300,30.806,17.085	29.063
spruce_planks.png	16x16	114,84,48,0	256	17.505,13.819,9.092	13.472
acacia_leaves.png	16x16	149,148,148,0	148	25.318,26.330,26.330	25.993
lime_wool.png	16x16	112,185,25,0	256	11.094,9.654,3.889	8.213
dirt.png	16x16	134,96,67,0	256	28.568,22.082,18.030	22.893
cut_red_sandstone.png	16x16	189,101,31,0	256	15.755,11.708,9.443	12.302
light_gray_terracotta.png	16x16	135,106,97,0	256	1.879,1.555,1.447	1.627
furnace_side.png	16x16	120,120,120,0	256	37.157,37.749,37.749	37.551
mossy_stone_bricks.png	16x16	115,121,105,0	256	20.128,17.051,30.073	22.417
diamond_ore.png	16x16	125,142,141,0	256	23.096,43.215,39.530	35.280
crimson_door_bottom.png	16x16	115,55,79,0	256	25.278,9.218,14.538	16.344
cake_bottom.png	16x16	133,62,32,0	196	11.260,5.527,3.419	6.735
black_glazed_terracotta.png	16x16	67,30,32,0	256	53.763,15.188,16.798	28.583
glowstone.png	16x16	171,131,84,0	256	58.670,65.705,63.745	62.707
blackstone_top.png	16x16	42,36,41,0	256	12.733,15.004,20.025	15.921
respawn_anchor_side0.png	16x16	39,23,62,0	256	30.301,21.008,49.989	33.766
yellow_concrete_powder.png	16x16	232,199,54,0	256	5.700,9.544,14.838	10.027
sweet_berry_bush_stage3.png	16x16	68,77,50,0	162	45.981,36.001,24.961	35.647
sea_pickle.png	16x16	90,97,39,0	216	31.513,39.822,37.980	36.438
warped_planks.png	16x16	43,104,99,0	256	13.409,28.308,29.758	23.825
mycelium_side.png	16x16	113,87,71,0	256	32.425,24.757,27.470	28.217
blast_furnace_front_on.png	16x32	115,110,105,0	512	43.336,35.562,39.082	39.326
purpur_block.png	16x16	169,125,169,0	256	15.872,19.452,15.993	17.106
yellow_wool.png	16x16	248,197,39,0	256	3.673,12.138,12.012	9.274
observer_front.png	16x16	103,103,103,0	256	54.486,54.729,54.729	54.648
cut_sandstone.png	16x16	217,206,159,0	256	9.944,16.459,22.207	16.203
lily_pad.png	16x16	133,133,133,0	150	28.267,28.267,28.267	28.267
respawn_anchor_side4.png	16x16	49,32,68,0	256	49.644,40.672,52.155	47.490
green_wool.png	16x16	84,109,27,0	256	7.397,11.420,4.256	7.691
frosted_ice_2.png	16x16	138,179,252,27	256	18.397,12.147,2.650	11.065
activator_rail_on.png	16x16	143,87,74,0	156	39.320,60.572,59.067	52.987
warped_trapdoor.png	16x16	47,119,111,0	201	9.756,26.648,27.579	21.328
ice.png	16x16	145,183,253,32	256	11.492,8.396,0.583	6.824
daylight_detector_top.png	16x16	130,116,94,0	256	67.988,65.548,65.065	66.200
piston_bottom.png	16x16	97,96,96,0	256	27.360,27.623,27.623	27.535
yellow_stained_glass.png	16x16	229,229,51,68	256	0.000,0.000,0.000	0.000
soul_fire_1.png	16x512	55,193,197,0	4492	90.405,43.435,42.516	58.785
sunflower_back.png	16x16	54,127,34,0	52	23.614,26.290,13.638	21.180
twisting_vines.png	16x16	20,143,124,0	71	2.030,31.166,17.396	16.864
cyan_stained_glass.png	16x16	76,127,153,68	256	0.000,0.000,0.000	0.000
nether_wart_stage1.png	16x16	0,0,1,0	256	0.000,0.000,1.829	0.610
jigsaw_bottom.png	16x16	34,27,37,0	256	9.706,7.742,10.957	9.469
snow.png	16x16	249,254,254,0	256	6.103,0.808,0.808	2.573
cartography_table_top.png	16x16	104,87,67,0	256	69.618,71.202,78.716	73.179
lilac_bottom.png	16x16	137,124,126,0	90	68.696,21.403,82.330	57.476
gray_stained_glass.png	16x16	76,76,76,68	256	0.000,0.000,0.000	0.000
destroy_stage_1.png	16x16	98,98,98,0	10	48.541,48.541,48.541	48.541
end_portal_frame_side.png	16x16	150,162,122,0	208	84.816,70.970,41.867	65.884
horn_coral_block.png	16x16	216,199,66,0	256	15.996,28.395,8.404	17.598
soul_campfire_log_lit.png	16x64	69,106,104,0	1024	44.059,67.808,69.928	60.598
quartz_pillar.png	16x16	235,230,224,0	256	5.906,6.821,11.233	7.987
crimson_fungus.png	16x16	141,44,29,0	60	61.641,41.821,29.202	44.221
chiseled_quartz_block_top.png	16x16	231,226,217,0	256	8.345,7.844,12.378	9.522
bubble_coral_block.png	16x16	165,26,162,0	256	27.054,12.664,19.994	19.904
sponge.png	16x16	195,192,74,0	256	18.134,23.325,6.864	16.108
wheat_stage2.png	16x16	0,0,0,0	256	0.000,0.000,1.609	0.536
target_side.png	16x16	229,176,168,0	256	24.136,86.205,81.700	64.013
repeating_command_block_side.png	16x64	128,110,170,0	1024	40.680,47.109,45.949	44.579
basalt_top.png	16x16	80,81,86,0	256	28.377,26.287,21.489	25.384
grass_block_snow.png	16x16	169,150,133,0	256	54.046,74.117,86.555	71.573
quartz_pillar_top.png	16x16	235,229,222,0	256	5.935,6.892,10.982	7.936
turtle_egg_very_cracked.png	16x16	207,203,165,0	133	55.572,43.407,46.156	48.379
light_blue_stained_glass.png	16x16	102,153,216,68	256	0.000,0.000,0.000	0.000
conduit.png	16x16	159,139,113,0	144	39.013,37.697,41.249	39.320
fire_0.png	16x512	211,140,53,0	4492	25.545,64.024,89.160	59.576
bell_top.png	16x16	253,235,110,0	64	7.715,21.206,45.960	24.960
orange_concrete_powder.png	16x16	227,131,31,0	256	6.691,11.783,11.949	10.141
brown_mushroom.png	16x16	153,116,92,0	34	42.371,31.967,25.869	33.403
stripped_dark_oak_log_top.png	16x16	65,44,22,0	256	10.707,5.315,3.830	6.617
respawn_anchor_top.png	16x512	76,23,150,17	8192	29.907,22.929,56.442	36.426
oak_sapling.png	16x16	77,106,40,0	111	30.793,40.977,15.233	29.001
gray_wool.png	16x16	62,68,71,0	256	5.062,6.513,6.225	5.933
carrots_stage2.png	16x16	56,113,37,0	82	25.422,25.445,7.149	19.339
orange_shulker_box.png	16x16	234,106,8,0	256	14.188,10.518,6.914	10.540
jungle_log_top.png	16x16	149,109,70,0	256	38.515,25.186,27.084	30.262
purple_glazed_terracotta.png	16x16	109,48,152,0	256	40.429,16.292,57.812	38.178
bamboo_large_leaves.png	16x16	72,117,25,0	186	19.902,32.306,5.555	19.254
cyan_stained_glass_pane_top.png	16x16	73,122,147,12	32	2.026,3.609,4.052	3.229
spawner.png	16x16	36,46,62,0	176	14.311,22.268,23.779	20.119
weeping_vines_plant.png	16x16	132,16,12,0	115	43.064,26.081,21.447	30.197
